index,num_trials,num_successes,volume_quality,epsilon_quality,grasp_fnm
952,10,10,0.024997498138501408,0.00781367148592334,grasp_0952.npy
953,10,0,0.08435500485560657,0.009409112053723391,grasp_0953.npy
954,10,5,0.14306862433123074,-1.0,grasp_0954.npy
955,10,10,0.12452437164691213,0.059972027214601015,grasp_0955.npy
956,10,10,0.0,-1.0,grasp_0956.npy
957,10,10,0.09551616349823108,0.045375152818025996,grasp_0957.npy
958,10,10,0.0,-1.0,grasp_0958.npy
959,10,1,0.0,-1.0,grasp_0959.npy
960,10,10,0.0,-1.0,grasp_0960.npy
961,10,7,0.0,-1.0,grasp_0961.npy
962,10,10,0.0,-1.0,grasp_0962.npy
963,10,0,0.1579692548899289,-1.0,grasp_0963.npy
964,10,10,0.0,-1.0,grasp_0964.npy
965,10,10,0.0,-1.0,grasp_0965.npy
966,10,10,0.0,-1.0,grasp_0966.npy
967,10,0,0.0,-1.0,grasp_0967.npy
968,10,10,0.0,-1.0,grasp_0968.npy
969,10,10,0.0,-1.0,grasp_0969.npy
970,10,0,0.27951992832695516,0.06913537476934822,grasp_0970.npy
971,10,10,0.0,-1.0,grasp_0971.npy
972,10,0,0.0,-1.0,grasp_0972.npy
973,10,10,0.0,-1.0,grasp_0973.npy
974,10,10,0.0,-1.0,grasp_0974.npy
975,10,10,0.0,-1.0,grasp_0975.npy
976,10,5,0.0,-1.0,grasp_0976.npy
977,10,10,0.0,-1.0,grasp_0977.npy
978,10,9,0.0,-1.0,grasp_0978.npy
979,10,10,0.0,-1.0,grasp_0979.npy
980,10,10,0.0,-1.0,grasp_0980.npy
981,10,10,0.0,-1.0,grasp_0981.npy
982,10,10,0.06558775864937351,-1.0,grasp_0982.npy
983,10,0,0.0,-1.0,grasp_0983.npy
984,10,10,0.0,-1.0,grasp_0984.npy
985,10,10,0.0,-1.0,grasp_0985.npy
986,10,10,0.0,-1.0,grasp_0986.npy
987,10,0,0.0,-1.0,grasp_0987.npy
988,10,10,0.0,-1.0,grasp_0988.npy
989,10,10,0.0,-1.0,grasp_0989.npy
990,10,10,0.09363313293496515,0.04763833669344787,grasp_0990.npy
991,10,10,0.0,-1.0,grasp_0991.npy
992,10,10,0.0,-1.0,grasp_0992.npy
993,10,10,0.0,-1.0,grasp_0993.npy
994,10,10,0.0,-1.0,grasp_0994.npy
995,10,0,0.0,-1.0,grasp_0995.npy
996,10,10,0.051972074907061586,0.0303277156716305,grasp_0996.npy
997,10,10,0.0,-1.0,grasp_0997.npy
998,10,10,0.02272409946851763,0.0009476998932210767,grasp_0998.npy
999,10,0,0.0,-1.0,grasp_0999.npy
